                  Player_Name   total        avg   max   min  gp
0                Nikola Jokić  1107.6  65.152941  84.1  50.2  17
1     Shai Gilgeous-Alexander   958.1  53.227778  79.1  38.8  18
2                Tyrese Maxey   907.0  53.352941  86.5  29.2  17
3                 Luka Dončić   815.8  62.753846  82.3  39.9  13
4                James Harden   814.9  47.935294  80.3  29.3  17
5               Jalen Johnson   788.7  46.394118  88.6  23.1  17
6              Scottie Barnes   783.5  43.527778  68.0  15.6  18
7            Donovan Mitchell   780.7  45.923529  63.8  28.8  17
8                Devin Booker   749.3  41.627778  58.7  23.5  18
9       Giannis Antetokounmpo   742.7  57.130769  80.5  25.0  13
10                Deni Avdija   738.7  41.038889  67.7  19.5  18
11               Franz Wagner   736.9  38.784211  53.8  24.2  19
12              Julius Randle   731.4  43.023529  54.1  27.0  17
13         Karl-Anthony Towns   726.8  45.425000  63.9  26.9  16
14                Evan Mobley   724.2  40.233333  54.6  22.2  18
15            Lauri Markkanen   718.8  42.282353  71.3  26.4  17
16            Cade Cunningham   717.3  51.235714  95.9  22.0  14
17                Josh Giddey   710.8  47.386667  67.1  33.4  15
18             Alperen Sengun   710.5  47.366667  68.5  28.0  15
19               Jaylen Brown   697.5  41.029412  61.1  19.9  17
20          Victor Wembanyama   697.0  58.083333  78.8  31.8  12
21              Pascal Siakam   686.6  42.912500  64.0  26.0  16
22             Keyonte George   672.8  39.576471  52.8  23.5  17
23             Brandon Ingram   661.0  36.722222  48.7  23.0  18
24                Ivica Zubac   657.4  36.522222  58.6  17.0  18
25           Jimmy Butler III   655.7  38.570588  56.2   8.8  17
26               Jamal Murray   653.8  40.862500  54.2  25.0  16
27              Austin Reaves   651.0  46.500000  81.7  21.5  14
28            Trey Murphy III   648.1  36.005556  58.3  17.4  18
29              Miles Bridges   644.2  37.894118  55.1  22.0  17
30               Ryan Rollins   627.4  34.855556  60.2  16.5  18
31              Stephen Curry   625.1  41.673333  69.7  14.2  15
32         Isaiah Hartenstein   614.2  34.122222  70.3  19.4  18
33         Michael Porter Jr.   610.6  38.162500  53.3  18.8  16
34              Derrick White   609.1  35.829412  48.9  15.2  17
35                Jalen Duren   606.1  40.406667  54.9  18.2  15
36              Dyson Daniels   603.2  31.747368  45.8  11.9  19
37                  Alex Sarr   599.1  39.940000  58.7  14.1  15
38              Mikal Bridges   599.1  37.443750  53.5  17.4  16
39              Jalen Brunson   593.1  42.364286  59.5  25.5  14
40           Jaime Jaquez Jr.   592.2  32.900000  55.1  15.2  18
41          Immanuel Quickley   591.7  32.872222  46.1  16.3  18
42                Kel'el Ware   589.1  32.727778  47.6  13.8  18
43          Russell Westbrook   584.6  32.477778  57.2  11.5  18
44             Onyeka Okongwu   583.6  32.422222  59.2  12.0  18
45            P.J. Washington   583.0  32.388889  54.9  12.0  18
46                Nic Claxton   579.6  34.094118  54.0  13.1  17
47               Cooper Flagg   578.2  32.122222  50.8  10.4  18
48               Desmond Bane   576.4  30.336842  49.7  15.6  19
